short-name,High Speed Quads,Triple Chairs,Double Chairs,Gondolas &amp; Trams,High Speed Sixes,Quad Chairs,Surface Lifts,Eight Person Lifts
alta-ski-area,3,1,2,,,,,
aspen-snowmass,15,3,5,3,1,4,9,
big-sky-resort,5,7,5,1,2,3,12,1
coronet-peak,2,,,,1,,5,
jackson-hole,5,,1,3,,4,,
lake-louise,3,1,,1,1,2,3,
mammoth-mountain-ski-area,9,6,4,3,2,1,,
squaw-valley-usa,5,12,5,2,4,1,5,
revelstoke-mountain,2,,,1,,1,2,
snowbasin,2,3,,3,1,,3,
snowbird,7,,4,1,,,2,
sugarbush,5,2,1,,,5,3,
sun-valley,10,3,1,1,,,3,
sunshine-village,7,,,1,,2,1,
taos-ski-valley,1,4,1,1,,3,4,
thredbo-alpine-resort,4,,2,,,,8,
valle-nevado,1,2,2,1,,,11,
folgaria,5,3,3,,,11,20,
andalo-fai-della-paganella,5,,2,3,,4,7,
beaver-creek,11,1,1,2,,,9,
breckenridge,6,1,6,1,5,,15,
brides-les-bains,5,2,,14,6,3,10,1
courchevel,4,2,,10,11,,28,
crested-butte-mountain-resort,4,2,1,,,2,5,
fernie-alpine,2,3,,,,2,3,
folgarida-marilleva,4,2,4,7,2,1,5,
heavenly-mountain-resort,7,5,3,2,2,1,8,
keystone,4,1,2,2,2,1,8,
kimberley,1,1,1,,,,2,
kirkwood,2,5,1,,,2,3,
la-tania,4,2,,10,11,,28,
les-menuires,2,2,,7,8,1,13,
madonna-di-campiglio,5,2,5,5,1,,,2
meribel,5,,,14,9,1,12,1
mont-sainte-anne,4,,,1,,,4,
mount-sunapee,2,2,,,,1,3,
nakiska-ski-area,3,,1,,,,2,
northstar-california,7,2,,2,1,1,7,
okemo-mountain-resort,4,3,,,1,5,7,
park-city-mountain-resort,7,8,4,4,6,9,6,
perisher,1,2,4,,,7,33,1
pontedilegno-tonale-adamello-ski,11,1,2,4,1,4,5,
stevens-pass-resort,4,3,2,,,1,2,
stoneham,1,,,,,3,2,
telluride,6,2,2,2,,1,4,
vail,15,1,,2,3,1,9,
val-thorens,2,,,10,11,,7,
whistler-blackcomb,11,3,,5,2,,2,
arapahoe-basin-ski-area,1,1,1,,,3,3,
bear-mountain,2,2,3,,,1,4,
brighton-resort,3,1,,,,1,2,
copper-mountain-resort,4,4,4,1,2,,9,
crystal-mountain-wa,2,2,2,1,2,1,1,
cypress-mountain,2,,2,,,2,,
deer-valley-resort,13,5,2,1,,,,
june-mountain,2,,4,,,,1,
killington-resort,5,3,1,3,1,4,5,
loon-mountain,2,1,2,1,,1,2,1
mt-bachelor,8,3,,,,1,3,
ski-banff-norquay,1,,1,,,2,2,
panorama-mountain,2,1,1,1,,2,3,
snowshoe-mountain-resort,3,6,,,,,3,
solitude-mountain-resort,4,1,1,,,2,1,
steamboat,6,5,2,1,1,,3,
stratton-mountain,1,1,1,1,4,2,1,
sugarloaf,2,1,5,,,3,2,
sunday-river,4,3,1,1,,5,4,
boyne-highlands,1,4,,,,3,2,
the-summit-at-snoqualmie,2,3,6,,,4,5,
tremblant,6,1,,3,,1,3,
windham-mountain,2,2,1,,1,,5,
winter-park-resort,7,4,6,1,2,,5,
afton-alps,,2,14,,,1,4,
falls-creek-alpine-resort,,2,,,,7,7,
monte-bondone,,1,1,,1,1,,
mount-brighton,,3,,,,2,8,
mt-hotham,,1,,,,9,3,
nendaz,,2,3,17,4,8,48,
pejo,,1,1,2,,2,1,
saint-martin-de-belleville,,1,1,8,7,2,12,
stowe-mountain-resort,,2,2,2,,4,2,
verbier,,2,3,17,4,8,48,
wilmot-mountain,,2,2,,,3,4,
blue-mountain,,1,,,5,1,4,
boyne-mountain-resort,,3,2,,1,4,2,
eldora-mountain-resort,,1,3,,1,2,3,
mt-buller,,3,1,,1,8,9,
snow-summit,,4,5,,,2,5,
kicking-horse,,,1,1,,2,1,
thyon-2000,,,3,16,,26,37,
veysonnaz,,,3,16,,26,37,
orelle,,,,8,,15,6,
pinzolo,,,,5,1,6,2,
the-remarkables,,,,,2,2,3,
