short-name,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,pass,resort,link
alta-ski-area,30.48,208.28,193.04,185.42000000000002,160.02,93.98,0.0,0.0,0.0,0.0,0.0,0.0,mountain-collective,Alta Ski Area,https://www.onthesnow.com/utah/alta-ski-area/ski-resort
alta-ski-area,30.48,208.28,193.04,185.42000000000002,160.02,93.98,0.0,0.0,0.0,0.0,0.0,0.0,ikon-pass,Alta Ski Area,https://www.onthesnow.com/utah/alta-ski-area/ski-resort
aspen-snowmass,55.88,165.1,134.62,152.4,167.64000000000001,81.28,0.762,0.0,0.0,0.0,0.0,0.0,mountain-collective,Aspen Snowmass,https://www.onthesnow.com/colorado/aspen-snowmass/ski-resort
aspen-snowmass,55.88,165.1,134.62,152.4,167.64000000000001,81.28,0.762,0.0,0.0,0.0,0.0,0.0,ikon-pass,Aspen Snowmass,https://www.onthesnow.com/colorado/aspen-snowmass/ski-resort
big-sky-resort,38.1,157.48,121.92,147.32,142.24,86.36,0.0,0.0,0.0,0.0,0.0,0.0,mountain-collective,Big Sky,https://www.onthesnow.com/montana/big-sky-resort/ski-resort
big-sky-resort,38.1,157.48,121.92,147.32,142.24,86.36,0.0,0.0,0.0,0.0,0.0,0.0,ikon-pass,Big Sky,https://www.onthesnow.com/montana/big-sky-resort/ski-resort
jackson-hole,53.34,271.78000000000003,251.46,284.48,167.64000000000001,33.02,0.0,0.0,0.0,0.0,0.0,0.0,mountain-collective,Jackson Hole,https://www.onthesnow.com/wyoming/jackson-hole/ski-resort
jackson-hole,53.34,271.78000000000003,251.46,284.48,167.64000000000001,33.02,0.0,0.0,0.0,0.0,0.0,0.0,ikon-pass,Jackson Hole,https://www.onthesnow.com/wyoming/jackson-hole/ski-resort
lake-louise,93.98,99.06,88.9,88.9,93.98,73.66,12.7,0.0,0.0,0.0,0.0,0.0,mountain-collective,Lake Louise,https://www.onthesnow.com/alberta/lake-louise/ski-resort
lake-louise,93.98,99.06,88.9,88.9,93.98,73.66,12.7,0.0,0.0,0.0,0.0,0.0,ikon-pass,Lake Louise,https://www.onthesnow.com/alberta/lake-louise/ski-resort
mammoth-mountain-ski-area,76.2,177.8,167.64000000000001,139.7,129.54,66.04,20.32,0.508,0.0,0.0,0.0,0.0,mountain-collective,Mammoth Mountain,https://www.onthesnow.com/california/mammoth-mountain-ski-area/ski-resort
mammoth-mountain-ski-area,76.2,177.8,167.64000000000001,139.7,129.54,66.04,20.32,0.508,0.0,0.0,0.0,0.0,ikon-pass,Mammoth Mountain,https://www.onthesnow.com/california/mammoth-mountain-ski-area/ski-resort
