pass,resort,link,short-name,High Speed Quads,Triple Chairs,Double Chairs,Gondolas & Trams,High Speed Sixes,Quad Chairs,Surface Lifts,Eight Person Lifts,lat,lng,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Runs in Total,Longest Run,Skiable Terrain,Snow Making,Beginners Runs,Intermediate Runs,Advanced Runs,Expert Runs,Night Skiing,Summit,Vertical Drop,Base,Total Lifts
mountain-collective,Alta Ski Area,https://www.onthesnow.com/utah/alta-ski-area/ski-resort,alta-ski-area,3.0,1.0,2.0,,,,,,40.5884218,-111.6385807,"12""","82""","76""","73""","63""","37""","0""",,,,,,119,1.3 mi,2614 ac,140 ac,,,,,,11068',2538',8530',6.0
mountain-collective,Aspen Snowmass,https://www.onthesnow.com/colorado/aspen-snowmass/ski-resort,aspen-snowmass,15.0,3.0,5.0,3.0,1.0,4.0,9.0,,39.2083984,-106.9490961,"22""","65""","53""","60""","66""","32""","0.3""","0""",,,,,336,5.3 mi,5517 ac,658 ac,,,,,,12510',4406',8104',40.0
mountain-collective,Big Sky,https://www.onthesnow.com/montana/big-sky-resort/ski-resort,big-sky-resort,5.0,7.0,5.0,1.0,2.0,3.0,12.0,1.0,45.28590249,-111.401154,"15""","62""","48""","58""","56""","34""","0""",,,,,,317,6 mi,5800 ac,400 ac,15%,25%,42%,18%,,11166',4350',7500',35.0
mountain-collective,Coronet Peak,https://www.onthesnow.com/new-zealand/coronet-peak/ski-resort,coronet-peak,2.0,,,,1.0,,5.0,,-44.9271654,168.7362725,,,,,,,,"9""","13""","6""","9""","0.3""",38,1.5 mi,,,17%,50%,26%,21%,,5410',1516',3894',8.0
mountain-collective,Jackson Hole,https://www.onthesnow.com/wyoming/jackson-hole/ski-resort,jackson-hole,5.0,,1.0,3.0,,4.0,,,43.4799291,-110.7624282,"21""","107""","99""","112""","66""","13""","0""",,,,,,131,4.5 mi,2500 ac,195 ac,4%,41%,38%,17%,,10450',4139',6311',13.0
mountain-collective,Lake Louise,https://www.onthesnow.com/alberta/lake-louise/ski-resort,lake-louise,3.0,1.0,,1.0,1.0,2.0,3.0,,51.4253705,-116.1772552,"37""","39""","35""","35""","37""","29""","5""","0""",,,,,164,5 mi,4200 ac,680 ac,,,,,,8652',3251',5400',11.0
mountain-collective,Mammoth Mountain,https://www.onthesnow.com/california/mammoth-mountain-ski-area/ski-resort,mammoth-mountain-ski-area,9.0,6.0,4.0,3.0,2.0,1.0,,,37.6307692,-119.0326342,"30""","70""","66""","55""","51""","26""","8""","0.2""",,,,,150,3 mi,3500 ac,700 ac,15%,48%,24%,13%,,11053',3100',7953',25.0
mountain-collective,Palisades Tahoe,https://www.onthesnow.com/california/squaw-valley-usa/ski-resort,squaw-valley-usa,5.0,12.0,5.0,2.0,4.0,1.0,5.0,,39.1906091,-120.2483913,"31""","78""","77""","79""","72""","32""","5""","0.4""",,,,,245,3.2 mi,6000 ac,1000 ac,,,,,,9050',2850',6200',34.0
mountain-collective,Revelstoke,https://www.onthesnow.com/british-columbia/revelstoke-mountain/ski-resort,revelstoke-mountain,2.0,,,1.0,,1.0,2.0,,50.998115,-118.195672,"9""","64""","56""","44""","47""","18""","0""",,,,,,59,9.5 mi,3121 ac,150 ac,,,,,,7300',5620',1680',6.0
mountain-collective,Snowbasin,https://www.onthesnow.com/utah/snowbasin/ski-resort,snowbasin,2.0,3.0,,3.0,1.0,,3.0,,41.2161404,-111.8571529,"12""","67""","61""","65""","43""","13""","0""",,,,,,41.8 mi,3.5 mi,3000 ac,24.9 mi,7%,37%,47%,9%,,9350',2900',6450',12.0
mountain-collective,Snowbird,https://www.onthesnow.com/utah/snowbird/ski-resort,snowbird,7.0,,4.0,1.0,,,2.0,,40.5829259,-111.6556388,"19""","87""","90""","84""","70""","61""","14""","0""",,,,,140,2.5 mi,2500 ac,,8%,25%,43%,24%,,11000',3240',7760',14.0
mountain-collective,Sugarbush,https://www.onthesnow.com/vermont/sugarbush/ski-resort,sugarbush,5.0,2.0,1.0,,,5.0,3.0,,44.1359019,-72.8944139,"15""","54""","46""","47""","44""","14""","0""",,,,,,111,3 mi,581 ac,406 ac,23%,42%,27%,7%,,4083',2600',1483',16.0
mountain-collective,Sun Valley,https://www.onthesnow.com/idaho/sun-valley/ski-resort,sun-valley,10.0,3.0,1.0,1.0,,,3.0,,43.6971294,-114.3517172,"6""","55""","37""","43""","24""","8""","0""",,,,,,120,3 mi,2054 ac,645 ac,,,,,,9150',3400',5750',18.0
mountain-collective,Sunshine Village,https://www.onthesnow.com/alberta/sunshine-village/ski-resort,sunshine-village,7.0,,,1.0,,2.0,1.0,,51.1151858,-115.7632758,"40""","47""","42""","43""","50""","25""","8""","0""",,,,,145,5 mi,3358 ac,,18%,26%,48%,8%,,8957',3510',5446',11.0
mountain-collective,Taos Ski Valley,https://www.onthesnow.com/new-mexico/taos-ski-valley/ski-resort,taos-ski-valley,1.0,4.0,1.0,1.0,,3.0,4.0,,36.5959999,-105.4545,"15""","40""","33""","45""","39""","7""","0""",,,,,,110,5 mi,1294 ac,13 mi,14%,16%,30%,40%,,12481',3281',9200',14.0
mountain-collective,The Remarkables,https://www.onthesnow.com/new-zealand/the-remarkables/ski-resort,the-remarkables,,,,,2.0,2.0,3.0,,-45.15,168.8333333,,,,,,,,"9""","19""","15""","15""","4""",48,0.9 mi,,25 ac,17%,40%,10%,40%,,6375',1171',5203',7.0
mountain-collective,Thredbo Alpine Resort,https://www.onthesnow.com/australia/thredbo-alpine-resort/ski-resort,thredbo-alpine-resort,4.0,,2.0,,,,8.0,,-36.4990449,148.3118522,,,,,,,,"11""","27""","34""","11""","0""",53,3.7 mi,,72 ac,,,,,15 ac,6683',2205',4478',14.0
mountain-collective,Valle Nevado,https://www.onthesnow.com/chile/valle-nevado/ski-resort,valle-nevado,1.0,2.0,2.0,1.0,,,11.0,,-33.3538494,-70.2489324,,,,,,,,"4""","13""","13""","6""","0.7""",46,1.3 mi,,200 ac,30%,23%,35%,12%,,12041',2657',9843',17.0
epic-pass,Afton Alps,https://www.onthesnow.com/minnesota/afton-alps/ski-resort,afton-alps,,2.0,14.0,,,1.0,4.0,,44.8576608,-92.7878062,"2""","13""","11""","13""","6""","0.5""","0""",,,,,,37,0.5 mi,250 ac,250 ac,34%,37%,29%,,250 ac,1530',350',1180',21.0
epic-pass,Alpe Cimbra - Folgaria - Lavarone,https://www.onthesnow.co.uk/trentino/folgaria/ski-resort,folgaria,5.0,3.0,3.0,,,11.0,20.0,,45.9477771,11.2857605,26cm,35cm,51cm,81cm,26cm,,,,,,,,100 km,4 km,100 km,74 km,,59%,34%,6%,,1820m,620m,1200m,42.0
epic-pass,Andalo - Fai della Paganella,https://www.onthesnow.co.uk/trentino/andalo-fai-della-paganella/ski-resort,andalo-fai-della-paganella,5.0,,2.0,3.0,,4.0,7.0,,46.1782815,11.0693311,16cm,33cm,53cm,81cm,52cm,,,,,,,,40 km,5 km,40 km,50 km,,40%,57%,3%,3 km,2125m,1085m,1040m,21.0
epic-pass,Beaver Creek,https://www.onthesnow.com/colorado/beaver-creek/ski-resort,beaver-creek,11.0,1.0,1.0,2.0,,,9.0,,39.604225,-106.516515,"20""","50""","47""","48""","51""","17""","0""",,,,,,150,2.8 mi,1832 ac,650 ac,38%,30%,24%,8%,,11440',3340',8100',24.0
epic-pass,Breckenridge,https://www.onthesnow.com/colorado/breckenridge/ski-resort,breckenridge,6.0,1.0,6.0,1.0,5.0,,15.0,,39.4816537,-106.0383518,"30""","60""","57""","57""","60""","36""","6""","0""",,,,,187,3.5 mi,2908 ac,600 ac,13%,23%,36%,28%,,12998',3398',9600',34.0
