short-name,Runs in Total,Longest Run,Skiable Terrain,Snow Making,Beginners Runs,Intermediate Runs,Advanced Runs,Expert Runs,Night Skiing
alta-ski-area,119,1.3 mi,2614 ac,140 ac,,,,,
aspen-snowmass,336,5.3 mi,5517 ac,658 ac,,,,,
big-sky-resort,317,6 mi,5800 ac,400 ac,15%,25%,42%,18%,
coronet-peak,38,1.5 mi,,,17%,50%,26%,21%,
jackson-hole,131,4.5 mi,2500 ac,195 ac,4%,41%,38%,17%,
lake-louise,164,5 mi,4200 ac,680 ac,,,,,
mammoth-mountain-ski-area,150,3 mi,3500 ac,700 ac,15%,48%,24%,13%,
squaw-valley-usa,245,3.2 mi,6000 ac,1000 ac,,,,,
revelstoke-mountain,59,9.5 mi,3121 ac,150 ac,,,,,
snowbasin,41.8 mi,3.5 mi,3000 ac,24.9 mi,7%,37%,47%,9%,
snowbird,140,2.5 mi,2500 ac,,8%,25%,43%,24%,
sugarbush,111,3 mi,581 ac,406 ac,23%,42%,27%,7%,
sun-valley,120,3 mi,2054 ac,645 ac,,,,,
sunshine-village,145,5 mi,3358 ac,,18%,26%,48%,8%,
taos-ski-valley,110,5 mi,1294 ac,13 mi,14%,16%,30%,40%,
the-remarkables,48,0.9 mi,,25 ac,17%,40%,10%,40%,
thredbo-alpine-resort,53,3.7 mi,,72 ac,,,,,15 ac
valle-nevado,46,1.3 mi,,200 ac,30%,23%,35%,12%,
afton-alps,37,0.5 mi,250 ac,250 ac,34%,37%,29%,,250 ac
folgaria,100 km,4 km,100 km,74 km,,59%,34%,6%,
andalo-fai-della-paganella,40 km,5 km,40 km,50 km,,40%,57%,3%,3 km
beaver-creek,150,2.8 mi,1832 ac,650 ac,38%,30%,24%,8%,
breckenridge,187,3.5 mi,2908 ac,600 ac,13%,23%,36%,28%,
brides-les-bains,150 km,1.1 km,150 km,75 km,9%,40%,37%,15%,
courchevel,150 km,9 km,150 km,87 km,19%,38%,33%,10%,3 km
crested-butte-mountain-resort,121,2.6 mi,1547 ac,297 ac,14%,25%,25%,36%,
falls-creek-alpine-resort,90,1.9 mi,30.4 mi,272 ac,,,,,1.4 mi
fernie-alpine,142,3.1 mi,2504 ac,125 ac,,,,,
folgarida-marilleva,63 km,,63 km,,,32%,48%,21%,
heavenly-mountain-resort,97,5.5 mi,4800 ac,3379 ac,8%,62%,25%,5%,
keystone,128,3.5 mi,3148 ac,662 ac,16%,43%,41%,,288 ac
kicking-horse,129,6.2 mi,2800 ac,516 ac,,,,,
kimberley,80,4 mi,1800 ac,120 ac,,,,,120 ac
kirkwood,90,2.5 mi,2300 ac,200 ac,,,,,
la-tania,150 km,,150 km,67 km,19%,38%,33%,10%,
les-menuires,160 km,,160 km,50 km,15%,47%,28%,10%,
madonna-di-campiglio,58 km,5 km,58 km,60 km,,50%,38%,12%,0.6 km
meribel,150 km,1.1 km,150 km,80 km,11%,37%,40%,11%,2.3 km
mont-sainte-anne,71,2.8 mi,547 ac,340 ac,21%,46%,20%,13%,136 ac
