short-name,Run Type,Percentage
alta-ski-area,Beginners Runs,
aspen-snowmass,Beginners Runs,
big-sky-resort,Beginners Runs,15
coronet-peak,Beginners Runs,17
jackson-hole,Beginners Runs,4
lake-louise,Beginners Runs,
mammoth-mountain-ski-area,Beginners Runs,15
squaw-valley-usa,Beginners Runs,
revelstoke-mountain,Beginners Runs,
snowbasin,Beginners Runs,7
snowbird,Beginners Runs,8
sugarbush,Beginners Runs,23
sun-valley,Beginners Runs,
sunshine-village,Beginners Runs,18
taos-ski-valley,Beginners Runs,14
the-remarkables,Beginners Runs,17
thredbo-alpine-resort,Beginners Runs,
valle-nevado,Beginners Runs,30
afton-alps,Beginners Runs,34
folgaria,Beginners Runs,
andalo-fai-della-paganella,Beginners Runs,
beaver-creek,Beginners Runs,38
breckenridge,Beginners Runs,13
brides-les-bains,Beginners Runs,9
courchevel,Beginners Runs,19
crested-butte-mountain-resort,Beginners Runs,14
falls-creek-alpine-resort,Beginners Runs,
fernie-alpine,Beginners Runs,
folgarida-marilleva,Beginners Runs,
heavenly-mountain-resort,Beginners Runs,8
keystone,Beginners Runs,16
kicking-horse,Beginners Runs,
kimberley,Beginners Runs,
kirkwood,Beginners Runs,
la-tania,Beginners Runs,19
les-menuires,Beginners Runs,15
madonna-di-campiglio,Beginners Runs,
meribel,Beginners Runs,11
mont-sainte-anne,Beginners Runs,21
monte-bondone,Beginners Runs,
mount-sunapee,Beginners Runs,30
mount-brighton,Beginners Runs,24
mt-hotham,Beginners Runs,5
nakiska-ski-area,Beginners Runs,15
nendaz,Beginners Runs,
northstar-california,Beginners Runs,13
okemo-mountain-resort,Beginners Runs,33
orelle,Beginners Runs,13
park-city-mountain-resort,Beginners Runs,8
pejo,Beginners Runs,
perisher,Beginners Runs,
pinzolo,Beginners Runs,
pontedilegno-tonale-adamello-ski,Beginners Runs,
saint-martin-de-belleville,Beginners Runs,15
stevens-pass-resort,Beginners Runs,8
stoneham,Beginners Runs,19
stowe-mountain-resort,Beginners Runs,16
telluride,Beginners Runs,16
thyon-2000,Beginners Runs,
vail,Beginners Runs,22
val-thorens,Beginners Runs,13
verbier,Beginners Runs,
veysonnaz,Beginners Runs,
whistler-blackcomb,Beginners Runs,18
wilmot-mountain,Beginners Runs,33
arapahoe-basin-ski-area,Beginners Runs,7
bear-mountain,Beginners Runs,20
blue-mountain,Beginners Runs,22
boyne-mountain-resort,Beginners Runs,49
brighton-resort,Beginners Runs,
copper-mountain-resort,Beginners Runs,25
crystal-mountain-wa,Beginners Runs,8
cypress-mountain,Beginners Runs,8
deer-valley-resort,Beginners Runs,27
eldora-mountain-resort,Beginners Runs,18
june-mountain,Beginners Runs,16
killington-resort,Beginners Runs,
loon-mountain,Beginners Runs,
mt-bachelor,Beginners Runs,19
mt-buller,Beginners Runs,5
ski-banff-norquay,Beginners Runs,38
panorama-mountain,Beginners Runs,10
snow-summit,Beginners Runs,19
snowshoe-mountain-resort,Beginners Runs,40
solitude-mountain-resort,Beginners Runs,5
steamboat,Beginners Runs,
stratton-mountain,Beginners Runs,
sugarloaf,Beginners Runs,22
sunday-river,Beginners Runs,30
boyne-highlands,Beginners Runs,36
the-summit-at-snoqualmie,Beginners Runs,15
tremblant,Beginners Runs,19
windham-mountain,Beginners Runs,20
winter-park-resort,Beginners Runs,24
alta-ski-area,Intermediate Runs,
aspen-snowmass,Intermediate Runs,
big-sky-resort,Intermediate Runs,25
coronet-peak,Intermediate Runs,50
jackson-hole,Intermediate Runs,41
lake-louise,Intermediate Runs,
mammoth-mountain-ski-area,Intermediate Runs,48
squaw-valley-usa,Intermediate Runs,
revelstoke-mountain,Intermediate Runs,
snowbasin,Intermediate Runs,37
snowbird,Intermediate Runs,25
sugarbush,Intermediate Runs,42
sun-valley,Intermediate Runs,
sunshine-village,Intermediate Runs,26
taos-ski-valley,Intermediate Runs,16
the-remarkables,Intermediate Runs,40
thredbo-alpine-resort,Intermediate Runs,
valle-nevado,Intermediate Runs,23
afton-alps,Intermediate Runs,37
folgaria,Intermediate Runs,59
andalo-fai-della-paganella,Intermediate Runs,40
beaver-creek,Intermediate Runs,30
breckenridge,Intermediate Runs,23
brides-les-bains,Intermediate Runs,40
courchevel,Intermediate Runs,38
crested-butte-mountain-resort,Intermediate Runs,25
falls-creek-alpine-resort,Intermediate Runs,
fernie-alpine,Intermediate Runs,
folgarida-marilleva,Intermediate Runs,32
heavenly-mountain-resort,Intermediate Runs,62
keystone,Intermediate Runs,43
kicking-horse,Intermediate Runs,
kimberley,Intermediate Runs,
kirkwood,Intermediate Runs,
la-tania,Intermediate Runs,38
les-menuires,Intermediate Runs,47
madonna-di-campiglio,Intermediate Runs,50
meribel,Intermediate Runs,37
mont-sainte-anne,Intermediate Runs,46
monte-bondone,Intermediate Runs,26
mount-sunapee,Intermediate Runs,46
mount-brighton,Intermediate Runs,44
mt-hotham,Intermediate Runs,40
nakiska-ski-area,Intermediate Runs,59
nendaz,Intermediate Runs,41
northstar-california,Intermediate Runs,60
okemo-mountain-resort,Intermediate Runs,38
orelle,Intermediate Runs,42
park-city-mountain-resort,Intermediate Runs,41
pejo,Intermediate Runs,25
perisher,Intermediate Runs,
pinzolo,Intermediate Runs,12
pontedilegno-tonale-adamello-ski,Intermediate Runs,24
saint-martin-de-belleville,Intermediate Runs,50
stevens-pass-resort,Intermediate Runs,43
stoneham,Intermediate Runs,26
stowe-mountain-resort,Intermediate Runs,55
telluride,Intermediate Runs,30
thyon-2000,Intermediate Runs,36
vail,Intermediate Runs,34
val-thorens,Intermediate Runs,45
verbier,Intermediate Runs,31
veysonnaz,Intermediate Runs,41
whistler-blackcomb,Intermediate Runs,40
wilmot-mountain,Intermediate Runs,33
arapahoe-basin-ski-area,Intermediate Runs,20
bear-mountain,Intermediate Runs,33
blue-mountain,Intermediate Runs,33
boyne-mountain-resort,Intermediate Runs,28
brighton-resort,Intermediate Runs,
copper-mountain-resort,Intermediate Runs,24
crystal-mountain-wa,Intermediate Runs,31
cypress-mountain,Intermediate Runs,38
deer-valley-resort,Intermediate Runs,31
eldora-mountain-resort,Intermediate Runs,48
june-mountain,Intermediate Runs,40
killington-resort,Intermediate Runs,
loon-mountain,Intermediate Runs,
mt-bachelor,Intermediate Runs,55
mt-buller,Intermediate Runs,39
ski-banff-norquay,Intermediate Runs,25
panorama-mountain,Intermediate Runs,35
snow-summit,Intermediate Runs,48
snowshoe-mountain-resort,Intermediate Runs,33
solitude-mountain-resort,Intermediate Runs,31
steamboat,Intermediate Runs,
stratton-mountain,Intermediate Runs,
sugarloaf,Intermediate Runs,32
sunday-river,Intermediate Runs,36
boyne-highlands,Intermediate Runs,31
